
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006598                       # Number of seconds simulated (Second)
simTicks                                   6598446400                       # Number of ticks simulated (Tick)
finalTick                                  6598446400                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     40.01                       # Real time elapsed on the host (Second)
hostTickRate                                164932805                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1169156                       # Number of bytes of host memory used (Byte)
simInsts                                      8104525                       # Number of instructions simulated (Count)
simOps                                       14471310                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   202578                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     361720                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           455                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         14502081                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14485530                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17124578                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    120                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                14218                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             15925                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14459148                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.184342                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.973357                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9195268     63.59%     63.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1419018      9.81%     73.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    857334      5.93%     79.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    575739      3.98%     83.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1156380      8.00%     91.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    533771      3.69%     95.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    291581      2.02%     97.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    220642      1.53%     98.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    209415      1.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14459148                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     206      0.02%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 49316      3.97%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.99% # attempts to use FU when none available (Count)
