
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004700                       # Number of seconds simulated (Second)
simTicks                                   4700039890                       # Number of ticks simulated (Tick)
finalTick                                  4700039890                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     34.00                       # Real time elapsed on the host (Second)
hostTickRate                                138245805                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1170180                       # Number of bytes of host memory used (Byte)
simInsts                                      8104525                       # Number of instructions simulated (Count)
simOps                                       14471310                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   238384                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     425654                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           455                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10329759                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488405                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14820413                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    531                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17096                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             18379                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   6                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10288164                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.440530                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.248945                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6137983     59.66%     59.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1031737     10.03%     69.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    671688      6.53%     76.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    374191      3.64%     79.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    789770      7.68%     87.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    401234      3.90%     91.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    318063      3.09%     94.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    258885      2.52%     97.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    304613      2.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10288164                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     266      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 62825      7.05%      7.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.08% # attempts to use FU when none available (Count)
